Model,In,Out,Batch,Compiled,Fwd Mean (ms),Fwd Std (ms),Bwd Mean (ms),Bwd Std (ms)
Euclidean Linear no bias + ReLU,128,16384,512,False,0.21959923668986275,0.0010289189029967394,0.40182690593329345,0.0010313767540336728
Lorentz_FC (MLR),256,16384,512,False,0.6274133262534937,0.004232188882869686,1.211106258769368,0.0020518586646957448
Lorentz_FC cached (MLR),256,16384,512,False,0.4584106696503503,0.001175357283853474,0.9835633741484748,0.00197409923681847
Lorentz_FC + ReLU,256,16384,512,False,0.6577347998923444,0.003176312350161035,1.3004364282526868,0.002849392604300516
Lorentz_FC cached + ReLU,256,16384,512,False,0.48639999919159466,0.0011892662928461764,1.0704756650057705,0.0022710750177320238
BdeirLorentzMLR,256,16384,512,False,1.211264009277026,0.004842049169937766,2.5884159356355667,0.0033606551948753604
"ChenLinear (bias=F, norm=F)",256,16384,512,False,0.4831721808599389,0.000977703497342114,1.0581704170807549,0.002456458266727216
"ChenLinear (bias=T, norm=T)",256,16384,512,False,0.7230553134627964,0.0022110074956989564,1.845269317428271,0.004301470211321724
Poincare_Dist2Hyperplanes,256,16384,512,False,0.8871480862299601,0.0032248747861627694,1.981962891335183,0.0038999613667565604
Poincare_Linear,256,16384,512,False,1.4540582007550178,0.0037638598626346786,3.6542855475811247,0.004071038498786983
PoincareActivation (ReLU),256,16384,512,False,0.483754667143027,0.004824918293145029,0.8202239957948526,0.0053820921320960865
Euclidean Linear,256,16384,512,False,0.3002463239569997,0.0009253774856242214,0.6420707570181953,0.0013217925170603945
Euclidean Linear no bias,256,16384,512,False,0.29398325640101763,0.0011000940560027947,0.6024145429784601,0.0008889518396344887
Euclidean Linear + ReLU,256,16384,512,False,0.3514062996874464,0.0013075905770337341,0.7151972275713215,0.0017034954751341043
Euclidean Linear no bias + ReLU,256,16384,512,False,0.3447466678089566,0.0013822989572776787,0.6732354773127515,0.0016359933812477628
Lorentz_FC (MLR),512,16384,512,False,0.8604716490144315,0.002238080548187735,2.1621869066928294,0.0029336230390333063
Lorentz_FC cached (MLR),512,16384,512,False,0.6891955733299255,0.0015371987341091273,1.6948981103689775,0.002302681948979701
Lorentz_FC + ReLU,512,16384,512,False,0.9264528751373291,0.002074917834926045,2.2489386250575385,0.0030666111755861414
Lorentz_FC cached + ReLU,512,16384,512,False,0.7138986748953661,0.0012941455783852466,1.7812266498804092,0.0031905382175021813
BdeirLorentzMLR,512,16384,512,False,1.4733994748857286,0.003410614605652646,3.4599652746890452,0.0032423459076362728
"ChenLinear (bias=F, norm=F)",512,16384,512,False,0.7227306800583998,0.0012534100915520528,1.7118293419480324,0.004839040967345576
"ChenLinear (bias=T, norm=T)",512,16384,512,False,0.9637583024958347,0.0026662496387643403,2.5074492109582778,0.004931851214037576
Poincare_Dist2Hyperplanes,512,16384,512,False,1.1248526043362088,0.0036738933819024377,2.873655599096547,0.0036227404601201904
Poincare_Linear,512,16384,512,False,1.6917370376379595,0.004416420352560917,4.547627509908473,0.004784199862636835
PoincareActivation (ReLU),512,16384,512,False,0.4865706687172254,0.006313509520226144,0.8197642443131428,0.005311043019679851
Euclidean Linear,512,16384,512,False,0.5615476207299666,0.0009317885045173478,1.1480821215588113,0.0011558473990479568
Euclidean Linear no bias,512,16384,512,False,0.555622398853302,0.0007601912160986247,1.1017785257763333,0.00107841864281942
Euclidean Linear + ReLU,512,16384,512,False,0.6097351047727797,0.0008236190774633336,1.2176042397816975,0.0011300230075418983
Euclidean Linear no bias + ReLU,512,16384,512,False,0.6022257738643222,0.001186793616839319,1.1742386092310366,0.0013276615087387267
Lorentz_FC (MLR),1024,16384,512,False,1.4364758882116764,0.0027104039891523465,3.334165816611432,0.0025565617046336537
Lorentz_FC cached (MLR),1024,16384,512,False,1.1518079762657483,0.002001113893455814,2.486895369446796,0.0016876680520372814
Lorentz_FC + ReLU,1024,16384,512,False,1.5009745359420776,0.006119042647981296,3.4241629405455156,0.006041557177195707
Lorentz_FC cached + ReLU,1024,16384,512,False,1.1757300988487576,0.0016853826652622507,2.5735346545343813,0.0030861861899024456
BdeirLorentzMLR,1024,16384,512,False,2.045843093953234,0.005922965537682885,5.108387328208761,0.0036725184432805816
"ChenLinear (bias=F, norm=F)",1024,16384,512,False,1.2034143098565036,0.0009253867602135503,2.7724255450228426,0.0031600497032037572
"ChenLinear (bias=T, norm=T)",1024,16384,512,False,1.4675662796548072,0.0031068060691002712,3.570470135262672,0.004540046668559105
Poincare_Dist2Hyperplanes,1024,16384,512,False,1.6711243999765275,0.0033396524146240016,4.263282309187219,0.0031003677877248946
Poincare_Linear,1024,16384,512,False,2.239325079050931,0.0034858004613133363,5.937931174817293,0.0044747093039614995
PoincareActivation (ReLU),1024,16384,512,False,0.4813217958625482,0.005278295053727235,0.8166713471315346,0.004504561780871805
Euclidean Linear,1024,16384,512,False,1.0440224383739716,0.002162540813508108,2.203264072537422,0.002324049786597993
Euclidean Linear no bias,1024,16384,512,False,1.1061160488331572,0.0017243621420549695,2.1554346283276877,0.0022881603867259148
Euclidean Linear + ReLU,1024,16384,512,False,1.0936092270745172,0.0023499077739085254,2.274909963413161,0.002751725350839178
Euclidean Linear no bias + ReLU,1024,16384,512,False,1.1506734517487613,0.0014077194423680716,2.2278536532787565,0.0018587091259150968
Lorentz_FC (MLR),2048,16384,512,False,2.5993508562749748,0.007181464328288125,6.6273906960779305,0.006231894772421703
Lorentz_FC cached (MLR),2048,16384,512,False,2.076149179580364,0.0017783110201254086,5.030357350905736,0.004497451644919513
Lorentz_FC + ReLU,2048,16384,512,False,2.653098608056704,0.00552170148948283,6.708735952774684,0.005402339370291287
Lorentz_FC cached + ReLU,2048,16384,512,False,2.102627301702694,0.0020222641646177194,5.114612828130308,0.004409280822097353
BdeirLorentzMLR,2048,16384,512,False,3.297280023495356,0.005596951962391472,8.486037274201712,0.004888508191138684
"ChenLinear (bias=F, norm=F)",2048,16384,512,False,2.1662052610646123,0.0013274748690374125,4.817646948496501,0.006797222472161989
"ChenLinear (bias=T, norm=T)",2048,16384,512,False,2.398774395597742,0.0025506751306408693,5.618026653925578,0.005714783988855641
Poincare_Dist2Hyperplanes,2048,16384,512,False,2.7608153457226963,0.002350938579826903,7.372421554897143,0.0031552059867384556
Poincare_Linear,2048,16384,512,False,3.325930265670127,0.0037101325728703008,9.047125319639841,0.00444792732037116
PoincareActivation (ReLU),2048,16384,512,False,0.4835328012704849,0.005518210480342943,0.8192871479277916,0.004001387467954849
Euclidean Linear,2048,16384,512,False,2.0092552243446815,0.002635980986591939,4.388714621464412,0.0053208143564738635
Euclidean Linear no bias,2048,16384,512,False,2.1300313109936924,0.002169395080001836,4.335679988066356,0.005957776146024567
Euclidean Linear + ReLU,2048,16384,512,False,2.0566930365055165,0.00310360406937959,4.461812858996184,0.005718128229088805
Euclidean Linear no bias + ReLU,2048,16384,512,False,2.1745372159140453,0.0024390255282129712,4.409216036399205,0.00506692735195549
Lorentz_FC (MLR),4096,16384,512,False,4.919107904239577,0.020513090609290338,11.989930748939514,0.0038133827051730364
Lorentz_FC cached (MLR),4096,16384,512,False,3.8941226998964944,0.004468305633083058,8.900172111835886,0.002917356145453387
Lorentz_FC + ReLU,4096,16384,512,False,4.972415963808696,0.018635485968120046,12.068907615986276,0.003258551775435134
Lorentz_FC cached + ReLU,4096,16384,512,False,3.921288196076738,0.005658379942459395,8.982801161872016,0.003033098893731534
BdeirLorentzMLR,4096,16384,512,False,5.448846861373546,0.0035236111144379694,14.615688578287761,0.0043045601876292704
"ChenLinear (bias=F, norm=F)",4096,16384,512,False,4.073519529298294,0.0012677220045381344,8.561886600826098,0.009073834725572412
"ChenLinear (bias=T, norm=T)",4096,16384,512,False,4.31435175144926,0.0028825376874296216,9.359464528609296,0.010882791437626113
Poincare_Dist2Hyperplanes,4096,16384,512,False,4.874538679917653,0.00637759824328636,13.964223980903625,0.004039047235154203
Poincare_Linear,4096,16384,512,False,5.444949348767598,0.0065545277723427576,15.654171192899664,0.004773554079412505
PoincareActivation (ReLU),4096,16384,512,False,0.4856267753912478,0.005656283296434074,0.8208994015734247,0.0044873273346891255
Euclidean Linear,4096,16384,512,False,3.959696723067242,0.0032816549435480923,8.13739417946857,0.002209217291006462
Euclidean Linear no bias,4096,16384,512,False,3.9354074682508196,0.0007539095746624051,8.088205581015728,0.0034801775096886026
Euclidean Linear + ReLU,4096,16384,512,False,4.007225493995511,0.003041895241572656,8.207359942984073,0.002026162346691955
Euclidean Linear no bias + ReLU,4096,16384,512,False,3.9805226971705756,0.0017266957732222795,8.156714618206024,0.002401205016649395
Lorentz_FC (MLR),8192,16384,512,False,9.537932999280034,0.0487677127935248,23.16688886601874,0.004875899305984831
Lorentz_FC cached (MLR),8192,16384,512,False,7.4863550612267025,0.007841975484762929,17.082240025202434,0.005587741021765199
Lorentz_FC + ReLU,8192,16384,512,False,9.561685303846994,0.04198235258846313,23.233194669087727,0.005515680760254096
Lorentz_FC cached + ReLU,8192,16384,512,False,7.505811112992307,0.007318102504727202,17.153459873605282,0.00465073597804629
BdeirLorentzMLR,8192,16384,512,False,10.176272311109178,0.0054848059158881255,27.5785774751143,0.005332422144829088
"ChenLinear (bias=F, norm=F)",8192,16384,512,False,7.928920973902163,0.002257946576726427,16.598080039024353,0.006209040214473911
"ChenLinear (bias=T, norm=T)",8192,16384,512,False,8.08383991320928,0.003111746601038717,17.387797315915424,0.0071243865392708805
Poincare_Dist2Hyperplanes,8192,16384,512,False,9.112308896106223,0.010793575094736614,26.563823740533056,0.007519572734831165
Poincare_Linear,8192,16384,512,False,9.6769960890425,0.007629763500388919,28.29368656239611,0.005611879595339186
PoincareActivation (ReLU),8192,16384,512,False,0.5129195123302693,0.005072743309626205,1.3073136465890067,0.013924651558942252
Euclidean Linear,8192,16384,512,False,7.8379519780476885,0.0038229176967466997,16.346567069159615,0.005088259860589719
Euclidean Linear no bias,8192,16384,512,False,7.8111346789768765,0.0054946477939179115,16.30845373504016,0.011339323814072788
Euclidean Linear + ReLU,8192,16384,512,False,7.884864022334416,0.00616320302051916,16.42807372735471,0.012364311965086342
Euclidean Linear no bias + ReLU,8192,16384,512,False,7.855936030546824,0.0047602339089404255,16.379136125246685,0.011079156798664907
Lorentz_FC (MLR),16384,16384,512,False,18.710256381910675,0.0980347351517515,44.64419258965386,0.0045384740816204186
